,hotel_address,additional_number_of_scoring,review_date,average_score,hotel_name,reviewer_nationality,negative_review,review_total_negative_word_counts,total_number_of_reviews,positive_review,review_total_positive_word_counts,total_number_of_reviews_reviewer_has_given,reviewer_score,tags,days_since_review,lat,lng,reviewer_region
114174,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,1/3/2016,7.5,Hilton London Metropole,Australia,Wifi could be improved,5,6977,Selection of eating areas,5,1,8.8,"[' Leisure trip ', ' Family with young children ', ' Superior Queen Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",578 day,51.519568799999995,-0.170521,Oceania
114182,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,12/31/2015,7.5,Hilton London Metropole,Australia,No Negative,0,6977,Good size family room Modern and very clean Perfect for a few nights with a family Very quiet despite proximity to main roads,24,3,9.2,"[' Leisure trip ', ' Family with young children ', ' Superior Family Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",581 day,51.519568799999995,-0.170521,Oceania
114221,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,12/20/2015,7.5,Hilton London Metropole,United States of America,not a bad experience but could have been more thorough with room supplies things were left out like washcloths etc,21,6977,location amenities staff,4,2,9.2,"[' Business trip ', ' Solo traveler ', ' King Hilton Guest Room ', ' Stayed 4 nights ']",592 day,51.519568799999995,-0.170521,North America
114274,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,11/30/2015,7.5,Hilton London Metropole,United States of America,Noisy and extremely uncomfortable beds NEEDS IMMEDIATE REPLACEMENT,9,6977,location staff view pool and breakfast,7,3,7.5,"[' Leisure trip ', ' Family with older children ', ' Superior Queen Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",612 day,51.519568799999995,-0.170521,North America
114301,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,11/17/2015,7.5,Hilton London Metropole,United States of America,Old beat up hotel rooms Need to be updated Very old and run down,16,6977,Location rocks,3,1,6.7,"[' Leisure trip ', ' Couple ', ' Deluxe Queen Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",625 day,51.519568799999995,-0.170521,North America
114318,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,11/14/2015,7.5,Hilton London Metropole,Australia,No Negative,0,6977,Location was good as there was an Underground Station opposite so was easy to get around London Shops convenience stores close for supplies,25,7,8.8,"[' Leisure trip ', ' Family with older children ', ' Superior Family Room ', ' Stayed 2 nights ']",628 day,51.519568799999995,-0.170521,Oceania
114330,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,11/10/2015,7.5,Hilton London Metropole,United States of America,Fire alarm test was not warned,8,6977,No Positive,0,1,9.6,"[' Business trip ', ' Solo traveler ', ' King Hilton Guest Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",632 day,51.519568799999995,-0.170521,North America
114383,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,10/22/2015,7.5,Hilton London Metropole,New Zealand,No Negative,0,6977,fantastic location,3,10,10.0,"[' Leisure trip ', ' Family with older children ', ' Superior Family Room ', ' Stayed 1 night ']",651 day,51.519568799999995,-0.170521,Oceania
114395,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,10/13/2015,7.5,Hilton London Metropole,Australia,No Negative,0,6977,Staff very friendly,4,1,7.5,"[' Leisure trip ', ' Family with young children ', ' King Hilton Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",660 day,51.519568799999995,-0.170521,Oceania
114409,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,10/11/2015,7.5,Hilton London Metropole,New Zealand,everything was good very expensive at the bar though,10,6977,fantastic location close to tube,6,10,9.6,"[' Leisure trip ', ' Family with older children ', ' King Hilton Guest Room ', ' Stayed 2 nights ']",662 day,51.519568799999995,-0.170521,Oceania
114410,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,10/9/2015,7.5,Hilton London Metropole,New Zealand,No Negative,0,6977,fantastic location Opposite 3 main tube lines and just done the road from Paddington Station,17,10,9.6,"[' Leisure trip ', ' Family with older children ', ' Twin Hilton Guest Room ', ' Stayed 1 night ']",664 day,51.519568799999995,-0.170521,Oceania
114414,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,10/8/2015,7.5,Hilton London Metropole,United States of America,Sports Bars closing at 11,6,6977,All was great,4,1,10.0,"[' Leisure trip ', ' Group ', ' Superior Family Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",665 day,51.519568799999995,-0.170521,North America
114419,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,10/5/2015,7.5,Hilton London Metropole,United States of America,No special treatment,4,6977,The location but not satisfied with the treatment as a Diamond card holder,14,1,6.3,"[' Business trip ', ' Solo traveler ', ' Superior King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",668 day,51.519568799999995,-0.170521,North America
114426,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,10/2/2015,7.5,Hilton London Metropole,United States of America,The size of the room and the old worn out furniture compared to the price,16,6977,The Staff was very friendly and helpful,8,2,7.1,"[' Leisure trip ', ' Family with young children ', ' Twin Hilton Guest Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']",671 day,51.519568799999995,-0.170521,North America
114431,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,9/30/2015,7.5,Hilton London Metropole,United States of America,Our reservation wasn t available,7,6977,Very comfortable bed We had an upgrade as what we booked was not available,16,1,7.5,"[' Leisure trip ', ' Couple ', ' King Hilton Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",673 day,51.519568799999995,-0.170521,North America
114443,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,9/26/2015,7.5,Hilton London Metropole,United States of America,Old and tired rooms air conditioning noisy value for money is a zero way too expensive for what you get,21,6977,Coffee shop in Lobby is good,7,2,4.6,"[' Business trip ', ' Solo traveler ', ' Deluxe Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",677 day,51.519568799999995,-0.170521,North America
114444,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,9/26/2015,7.5,Hilton London Metropole,New Zealand,No Negative,0,6977,Handy to rail once we got our bearings it was ok to find other places to dine,19,4,7.9,"[' Leisure trip ', ' Couple ', ' Deluxe Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",677 day,51.519568799999995,-0.170521,Oceania
114458,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,9/20/2015,7.5,Hilton London Metropole,United States of America,no in house laundry service,6,6977,No Positive,0,1,5.4,"[' Business trip ', ' Solo traveler ', ' Superior Queen Room ', ' Stayed 3 nights ']",683 day,51.519568799999995,-0.170521,North America
114459,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,9/18/2015,7.5,Hilton London Metropole,Australia,None,2,6977,Close to railway station tube It provides very good varieties for breakfast A good four stars hotel,18,4,8.3,"[' Leisure trip ', ' Group ', ' Twin Hilton Guest Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",685 day,51.519568799999995,-0.170521,Oceania
114463,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,9/17/2015,7.5,Hilton London Metropole,Australia,Old dated room Uncomfortable bed Room offered wasnt what we had prebooked Hot water system broken down,18,6977,Location parking,3,4,4.6,"[' Leisure trip ', ' Couple ', ' King Hilton Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",686 day,51.519568799999995,-0.170521,Oceania
114470,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,9/16/2015,7.5,Hilton London Metropole,Australia,Having to pay a 30 pounds per night refundable security charge made us feel that the hotel distrusted us as a customer,23,6977,Suitable location,3,1,7.5,"[' Leisure trip ', ' Couple ', ' King Hilton Guest Room ', ' Stayed 3 nights ']",687 day,51.519568799999995,-0.170521,Oceania
114504,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,8/30/2015,7.5,Hilton London Metropole,Australia,No Negative,0,6977,Staff overall service,4,2,9.2,"[' Leisure trip ', ' Family with older children ', ' Superior Queen Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",704 day,51.519568799999995,-0.170521,Oceania
114513,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,8/28/2015,7.5,Hilton London Metropole,United States of America,Poor TV channels Outdated shower bath combo Poor ventilation in room hotel needs makeover Decor is old,19,6977,Proximity to paddington,4,1,4.6,"[' Leisure trip ', ' Solo traveler ', ' Deluxe King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",706 day,51.519568799999995,-0.170521,North America
114519,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,8/23/2015,7.5,Hilton London Metropole,Canada,a lot of things in the dirty hallway to our room at anytime free wifi should be included,19,6977,easy to get around London from this hotel,9,3,5.4,"[' Leisure trip ', ' Family with older children ', ' Superior Queen Room ', ' Stayed 2 nights ']",711 day,51.519568799999995,-0.170521,North America
114529,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,8/16/2015,7.5,Hilton London Metropole,Canada,No Negative,0,6977,Rapid check in and orientation to the hotel areas Staff engaging and welcoming,15,1,10.0,"[' Solo traveler ', ' Superior King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",718 day,51.519568799999995,-0.170521,North America
114547,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,8/5/2015,7.5,Hilton London Metropole,Australia,No Negative,0,6977,Comfortable beds and rooms were cleaned thoroughly everyday,10,3,7.5,"[' Leisure trip ', ' Group ', ' Superior Family Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",729 day,51.519568799999995,-0.170521,Oceania
114549,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,8/5/2015,7.5,Hilton London Metropole,United States of America,Cleaners knocking at guest door very early sometimes entering rooms while guest are still sleeping,16,6977,Location very good,4,1,10.0,"[' Leisure trip ', ' Family with young children ', ' Twin Hilton Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",729 day,51.519568799999995,-0.170521,North America
124832,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,4/17/2017,8.1,DoubleTree by Hilton London Docklands Riverside,Australia,my first room had a leak in the bathroom ceiling and I was most unimpressed and requested another room That should not have happened and it was obvious that the leak had been happening for a long time and the room had an odour of mould Most unsatisfactory Full credit to all staff I was upgraded to a better room and all was well Could not fault the reception staff I sincerely hope that such substandard rooms are not the norm for people such as myself who have book online from along way away Australia Tasmania to be exact,101,3826,No Positive,0,2,9.6,"[' Leisure trip ', ' Group ', ' Double Guest Room ', ' Stayed 5 nights ']",108 day,51.5043483,-0.0334436,Oceania
124965,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,1/15/2017,8.1,DoubleTree by Hilton London Docklands Riverside,Australia,Squeeky floor in bedroom Bar was quiet felt too corporate Great pub on other side of river called the Prospect of Whitby,24,3826,Reception applied my HiltonHonors to booking upgraded room English Bfast was superb Beautiful Hilton quality bed,18,1,8.8,"[' Leisure trip ', ' Solo traveler ', ' Double Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",200 day,51.5043483,-0.0334436,Oceania
124967,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,1/15/2017,8.1,DoubleTree by Hilton London Docklands Riverside,United States of America,The room was small and it felt like we were on a boat We made reservations at the hotel restaurant waited at the bar for an hour and after the hostess seated us in the worst spot next to the kitchen when at least 9 other tables were open no one even came to give us a drink menu or bring water After 20 minutes of no service we left It was a very disappointing experience I ve never left a bad review but I would definitely never come back here,93,3826,Check in was easy The bar staff were very friendly and efficient The room was clean,18,1,6.7,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",200 day,51.5043483,-0.0334436,North America
125100,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,9/22/2016,8.1,DoubleTree by Hilton London Docklands Riverside,Australia,We had pre booked a room only to get there find it had been given to someone else Then told they didn t have a similar room available which we refused to accept Got given a room as we opened the door walked in on someone already staying in that room Fuming at this stage we were given a twin room which was nothing like the room described or paid for Not a good experience Staff very unhelpful,80,3826,No Positive,0,3,4.2,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",315 day,51.5043483,-0.0334436,Oceania
125110,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,9/19/2016,8.1,DoubleTree by Hilton London Docklands Riverside,United States of America,Sometimes we felt too removed from the city We got inaccurate directions twice from two different staff members They were certainly kind and helpful but if they didn t know where they were going they should find someone who does,42,3826,This hotel is away from the bustle on London clean and comfortable We loved that our room had a view of the Thames city lights The frequent complimentry ferry service to Canary Wharf made traveling to London sights easy and fun Breakfast in the restaurant was wonderful and our son ate free,54,7,7.5,"[' Leisure trip ', ' Family with young children ', ' Junior Suite with River View and Balcony ', ' Stayed 2 nights ']",318 day,51.5043483,-0.0334436,North America
125150,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,8/28/2016,8.1,DoubleTree by Hilton London Docklands Riverside,United States of America,Had breakfest only one morning only one of us and was charged for several days Not right,19,3826,Everone was very nice and helpfull made our stay very nice,13,1,8.3,"[' Leisure trip ', ' Group ', ' Deluxe Double Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']",340 day,51.5043483,-0.0334436,North America
125152,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,8/28/2016,8.1,DoubleTree by Hilton London Docklands Riverside,Australia,Staff at the bar were slow rude The fire alarm went off 3 times during the night meaning we were very tired for our onward travel the following day,31,3826,Great hotel excellent rooms loved the ferry service,10,1,7.5,"[' Leisure trip ', ' Couple ', ' Deluxe Queen Room with Balcony ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",340 day,51.5043483,-0.0334436,Oceania
125171,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,8/15/2016,8.1,DoubleTree by Hilton London Docklands Riverside,Canada,AC didn t hold out well 34c in London during stay,13,3826,Buffet overlooking Thames a great way to start the day Location was quiet with easy access to transit,20,3,9.2,"[' Leisure trip ', ' Couple ', ' King Guest Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",353 day,51.5043483,-0.0334436,North America
125301,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,6/3/2016,8.1,DoubleTree by Hilton London Docklands Riverside,Australia,No view over river,5,3826,The cookies and most comfortable bed Our check in attendant Can t remember his name but Italian from Milan Most helpful young man,25,2,10.0,"[' Leisure trip ', ' Couple ', ' Superior King Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",426 day,51.5043483,-0.0334436,Oceania
125308,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,5/31/2016,8.1,DoubleTree by Hilton London Docklands Riverside,Australia,Are you kidding me You greeted me with a goddamn cookie I d marry this hotel if it wasn t frowned upon,24,3826,The bed was ridiculously comfy honesty it was like sleeping in the fat fold of the Pillsbury doughboy,20,5,10.0,"[' Leisure trip ', ' Solo traveler ', ' Double Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",429 day,51.5043483,-0.0334436,Oceania
125322,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,5/26/2016,8.1,DoubleTree by Hilton London Docklands Riverside,United States of America,Tiny tiny elevators They also don t tell you that unless you get dropped off at the front door by a cab you have a healthy climb up two floors with all your bags to get there after getting dropped off on the street from the bus,49,3826,Awesome pillows Good public transit options to all of London Very quiet Got the best sleep of our two week vacation at this hotel,26,1,8.8,"[' Leisure trip ', ' Couple ', ' Deluxe King Room with Balcony ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",434 day,51.5043483,-0.0334436,North America
125345,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,5/15/2016,8.1,DoubleTree by Hilton London Docklands Riverside,United States of America,The front desk staff was clueless when we asked about booking tours,14,3826,The luggage porter named Melvan was great and very helpful i finding a doctor for me due to my illness while there,24,1,6.7,"[' Leisure trip ', ' Couple ', ' King Guest Room ', ' Stayed 8 nights ']",445 day,51.5043483,-0.0334436,North America
125483,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,2/18/2016,8.1,DoubleTree by Hilton London Docklands Riverside,United States of America,No heating in the bathroom Breakfast not included nearly everywhere includes it these days The bar charged 16 a GLASS for red wine,25,3826,Bed was comfy no traffic noise great view over the Thames Free ferry over to Canary Wharf,18,1,8.8,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",532 day,51.5043483,-0.0334436,North America
125558,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,1/12/2016,8.1,DoubleTree by Hilton London Docklands Riverside,Australia,The shower sprayed water all over the bathroom when used They did provide you with extra towels for the floor,22,3826,The great free ferry service from their dock to the other side of the river The room was large and spacious The staff were very helpful We had a view of the river which was a lovely surprise,40,3,8.8,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",569 day,51.5043483,-0.0334436,Oceania
125566,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,1/4/2016,8.1,DoubleTree by Hilton London Docklands Riverside,Canada,It was quite difficult to find the right elevator for the right section where your room was located It was like a rabbit warren or a maze There wasn t enough staff on at reception causing long waits for service,41,3826,I liked the fact that you could take the ferry over to Canary Wharf It was delightful to walk over there,23,2,7.5,"[' Leisure trip ', ' Family with older children ', ' Queen Guest Room ', ' Stayed 1 night ']",577 day,51.5043483,-0.0334436,North America
125640,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,10/22/2015,8.1,DoubleTree by Hilton London Docklands Riverside,United States of America,Some of the rooms on the ground level are a little bit older than the rooms on the higher floors from my experience with this hotel,28,3826,Good value for money in the off season During summer the rates can be a little on the higher end as it is considered a four star hotel The staff seem to maker an effort to give customer service based on HIlton standards,45,1,7.9,"[' Leisure trip ', ' Solo traveler ', ' Queen Guest Room ', ' Stayed 1 night ']",651 day,51.5043483,-0.0334436,North America
125669,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,9/25/2015,8.1,DoubleTree by Hilton London Docklands Riverside,United States of America,The staff are not warm or friendly The stare when a god evening sir is expected I understand it s a British hotel and the rudeness is complimentary but it is an American chain I expect better manners,39,3826,The style of the hotel and location,8,8,7.1,"[' Leisure trip ', ' Solo traveler ', ' Queen Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",678 day,51.5043483,-0.0334436,North America
125786,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,6/25/2017,8.1,DoubleTree by Hilton London Docklands Riverside,Australia,Air conditioning didn t work rooms very poor we expected better at the Hilton,15,3826,The Manager was very helpful,6,8,4.2,"[' Leisure trip ', ' Couple ', ' Deluxe Queen Room with River View ', ' Stayed 5 nights ']",39 days,51.5043483,-0.0334436,Oceania
125861,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,5/19/2017,8.1,DoubleTree by Hilton London Docklands Riverside,Canada,No small refrigerator in the room,7,3826,Friendly staff,3,2,9.6,"[' Business trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",76 days,51.5043483,-0.0334436,North America
125876,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,5/8/2017,8.1,DoubleTree by Hilton London Docklands Riverside,Australia,No Negative,0,3826,Staff were very helpful and courteous Complimentary ferry to Canary Wharf was nice,15,4,9.2,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 3 nights ']",87 days,51.5043483,-0.0334436,Oceania
125894,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,4/22/2017,8.1,DoubleTree by Hilton London Docklands Riverside,United States of America,It was difficult to get to and from the airport,12,3826,The ferry was very convenient The beds were very comfortable and it was very clean,17,2,9.2,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",103 day,51.5043483,-0.0334436,North America
126060,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,1/14/2017,8.1,DoubleTree by Hilton London Docklands Riverside,Australia,Rooms bathroom and has a very strange smell,10,3826,Breakfast and location,4,15,5.8,"[' Leisure trip ', ' Family with young children ', ' Two Bedroom Family Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",201 day,51.5043483,-0.0334436,Oceania
126103,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,12/17/2016,8.1,DoubleTree by Hilton London Docklands Riverside,Canada,No Negative,0,3826,The breakfast is really good much better than similar hotels and the ferry to the Canary Wharf is very interesting,22,17,9.2,"[' Business trip ', ' Couple ', ' Junior Suite with River View and Balcony ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",229 day,51.5043483,-0.0334436,North America
126226,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,9/15/2016,8.1,DoubleTree by Hilton London Docklands Riverside,Australia,That the air conditioning in the room wasn t operational during the hottest Sept days in London in 100y,20,3826,Not much,3,5,5.8,"[' Business trip ', ' Solo traveler ', ' Queen Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",322 day,51.5043483,-0.0334436,Oceania
126243,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,8/30/2016,8.1,DoubleTree by Hilton London Docklands Riverside,Australia,No Negative,0,3826,Free ferry,3,3,7.5,"[' Leisure trip ', ' Solo traveler ', ' Deluxe King Room with Balcony ', ' Stayed 10 nights ', ' Submitted from a mobile device ']",338 day,51.5043483,-0.0334436,Oceania
126254,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,8/21/2016,8.1,DoubleTree by Hilton London Docklands Riverside,New Zealand,The room was small and dark little natural light Air con was very noisy,16,3826,Staff were helpful and friendly,7,4,7.1,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 9 nights ']",347 day,51.5043483,-0.0334436,Oceania
126374,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,6/7/2016,8.1,DoubleTree by Hilton London Docklands Riverside,New Zealand,WIFI variable in speed and availability but free,9,3826,Good sized room,4,11,7.9,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Queen Room with River View ', ' Stayed 3 nights ']",422 day,51.5043483,-0.0334436,Oceania
126387,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,5/30/2016,8.1,DoubleTree by Hilton London Docklands Riverside,United States of America,Value for money Everything overpriced,7,3826,Staff were great helpful and friendly,8,1,6.3,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",430 day,51.5043483,-0.0334436,North America
126389,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,5/27/2016,8.1,DoubleTree by Hilton London Docklands Riverside,United States of America,It was so far ftom everything Cabs cost a fortune to get anywhere,15,3826,Helen was very helpful Some Of Staff NOT TOO friendly,12,1,7.1,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",433 day,51.5043483,-0.0334436,North America
126429,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,4/27/2016,8.1,DoubleTree by Hilton London Docklands Riverside,United States of America,I don t like that the cafe charged us twice and intend to dispute the charges,18,3826,We were on tour and it was a good place to spend the night,16,1,9.6,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",463 day,51.5043483,-0.0334436,North America
126453,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,4/12/2016,8.1,DoubleTree by Hilton London Docklands Riverside,United States of America,Toilet didn t flush No one on duty on Sunday to fix it,15,3826,Great bed,4,6,8.3,"[' Leisure trip ', ' Solo traveler ', ' King Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",478 day,51.5043483,-0.0334436,North America
126566,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,2/2/2016,8.1,DoubleTree by Hilton London Docklands Riverside,United States of America,Room next to me they were smoking and smoke came in to my room,16,3826,Location,3,1,8.3,"[' Leisure trip ', ' Group ', ' Double Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",548 day,51.5043483,-0.0334436,North America
126576,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,1/30/2016,8.1,DoubleTree by Hilton London Docklands Riverside,Canada,The temperature in the room was too warm and I couldn t cool it off,17,3826,No Positive,0,6,9.2,"[' Business trip ', ' Solo traveler ', ' 2 rooms ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",551 day,51.5043483,-0.0334436,North America
126635,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,12/27/2015,8.1,DoubleTree by Hilton London Docklands Riverside,United States of America,Needs more variety on restaurant menu,7,3826,Convenience to Canary Wharf by ferry,7,1,9.6,"[' Leisure trip ', ' Family with older children ', ' Double Guest Room ', ' Stayed 2 nights ']",585 day,51.5043483,-0.0334436,North America
126657,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,12/1/2015,8.1,DoubleTree by Hilton London Docklands Riverside,United States of America,The food was okay not excellent,7,3826,The staff and the location relative to EMA building were great,12,1,9.2,"[' Business trip ', ' Solo traveler ', ' Deluxe Queen Room with Balcony ', ' Stayed 4 nights ']",611 day,51.5043483,-0.0334436,North America
126741,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,9/29/2015,8.1,DoubleTree by Hilton London Docklands Riverside,United States of America,Ferry across the Thames to access the place,10,3826,Great helpful staff NIcely appointed room Superlative breakfast,10,3,9.2,"[' Leisure trip ', ' Solo traveler ', ' Double Guest Room ', ' Stayed 1 night ']",674 day,51.5043483,-0.0334436,North America
126754,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,9/19/2015,8.1,DoubleTree by Hilton London Docklands Riverside,Canada,travel time to downtown approx 45 minutes,8,3826,Excellent restaurant and Bar personnel,6,1,8.3,"[' Business trip ', ' Solo traveler ', ' Superior King Room ', ' Stayed 5 nights ']",684 day,51.5043483,-0.0334436,North America
126793,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,8/13/2015,8.1,DoubleTree by Hilton London Docklands Riverside,Australia,Lack of fridge in room,6,3826,No Positive,0,3,8.8,"[' Leisure trip ', ' Couple ', ' King Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",721 day,51.5043483,-0.0334436,Oceania
139630,30 John Islip St Westminster Borough London SW1P 4DD United Kingdom,807,8/3/2017,8.5,DoubleTree by Hilton London Westminster,United States of America,Nothing,2,3269,The location was excellent The train station is close by and we were able to walk to Parliament Big Ben Westminster Abby and several good pubs,28,1,10.0,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",0 days,51.493235600000006,-0.1269082,North America
139631,30 John Islip St Westminster Borough London SW1P 4DD United Kingdom,807,8/2/2017,8.5,DoubleTree by Hilton London Westminster,United States of America,Although hotel has no smoking policy we felt cigarette smoke in our room every day either our room being close to outside smoking area or guests smoking in their rooms,32,3269,Helpful staff,3,1,5.4,"[' Leisure trip ', ' Family with young children ', ' Queen Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",1 days,51.493235600000006,-0.1269082,North America
139637,30 John Islip St Westminster Borough London SW1P 4DD United Kingdom,807,8/2/2017,8.5,DoubleTree by Hilton London Westminster,Australia,No Negative,0,3269,Close to the main tourist venues Comfortable room Executive room gave access to the executive lounge where breakfast and evening drinks and snacks were available making for good value,31,86,8.8,"[' Leisure trip ', ' Couple ', ' Executive Queen Room with Lounge Access ', ' Stayed 5 nights ']",1 days,51.493235600000006,-0.1269082,Oceania
